x[mm],y[mm]
1.101048632594998651e+02,1.642987411870898029e+01
1.133272116211316813e+02,1.829347498901056213e+01
1.122512611570010677e+02,2.015389868302143839e+01
1.133244601057516547e+02,2.201591096517766744e+01
1.100993602287397835e+02,2.387474607103312962e+01
1.100966087133597284e+02,2.759718204721029622e+01
1.122457581262409576e+02,2.759877063535564901e+01
1.133217085903715997e+02,2.573834694134477274e+01
1.165440569520034160e+02,2.760194781164635458e+01
1.197691568290152873e+02,2.574311270578083111e+01
1.186959578802647002e+02,2.388110042362460206e+01
1.165413054366233609e+02,3.132438378781345989e+01
1.186904548495045901e+02,3.132597237595884110e+01
1.197664053136352607e+02,2.946554868194793642e+01
1.229887536752670485e+02,3.132914955224951825e+01
1.262138535522789198e+02,2.947031444638399478e+01
1.251406546035283327e+02,2.760830216422776573e+01
1.294389534292907911e+02,2.761147934050340780e+01
1.294362019139107360e+02,3.133391531668557661e+01
1.315853513267919652e+02,3.133550390483092940e+01
1.326585502755425523e+02,3.319751618698715845e+01
1.358836501525544236e+02,3.133868108111009576e+01
1.358864016679344786e+02,2.761624510495452967e+01
1.380355510808156794e+02,2.761783369309993930e+01
1.337317492242931394e+02,3.505952846914338750e+01
1.380300480500556262e+02,3.506270564543403623e+01
1.391059985141862398e+02,3.320228195142321681e+01
1.466211426708204328e+02,4.251393195034971484e+01
1.487702920837016336e+02,4.251552053849836454e+01
1.487675405683215786e+02,4.623795651466217294e+01
1.519898889299533948e+02,4.810155738496375477e+01
1.530658393940840369e+02,4.624113369095287851e+01
1.519926404453334499e+02,4.437912140879664946e+01
1.552177403223453211e+02,4.252028630293015965e+01
1.552204918377253762e+02,3.879785032676402068e+01
1.573641382198464669e+02,4.624431086724364093e+01
1.584400886839771374e+02,4.438388717323270782e+01
1.600000000000000000e+02,4.528604043535280255e+01
6.927927896089678939e+01,5.232383015445961405e+00
7.142842837377801857e+01,5.233971603596998534e+00
7.142567685839796354e+01,8.956407579758419502e+00
7.464802522002975138e+01,1.082000845006000134e+01
7.572397568416039348e+01,8.959584756049125076e+00
7.465077673540980641e+01,7.097572473892896028e+00
7.787587661242167769e+01,5.238737368028793639e+00
7.787862812780173272e+01,1.516301391860267245e+00
8.002227450992282343e+01,8.962761932339830651e+00
8.109822497405349395e+01,7.102338238328954390e+00
8.432057333568531021e+01,8.965939108630536225e+00
7.787312509704162267e+01,8.961173344203686497e+00
7.787037358166159606e+01,1.268360932036158317e+01
8.109272194329335548e+01,1.454721019066316501e+01
8.001677147916274180e+01,1.640763388467404127e+01
8.108997042791332888e+01,1.826964616683027032e+01
8.431507030492517174e+01,1.641081106097071540e+01
8.431782182030522677e+01,1.268837508479764153e+01
8.646697123318645595e+01,1.268996367294299432e+01
8.861887216144774015e+01,8.969116284921241800e+00
9.291166795645006005e+01,1.641716541354618641e+01
8.754292169731709805e+01,1.082953997893208964e+01
9.076527005894888589e+01,1.269314084924216957e+01
9.076251854356885929e+01,1.641557682540080521e+01
9.398486690520064712e+01,1.827917769570238704e+01
9.075976702818880426e+01,2.013801280156285145e+01
9.075701551280874924e+01,2.386044877773501582e+01
9.290616492568997842e+01,2.386203736588036861e+01
9.398211538982062052e+01,2.200161367186949235e+01
9.720446375145240836e+01,2.386521454217107419e+01
1.004295636284642796e+02,2.200637943630555071e+01
9.935636467971372099e+01,2.014436715414929324e+01
9.720171223607238176e+01,2.758765051833817950e+01
9.935086164895361094e+01,2.758923910648353228e+01
1.004268121130842530e+02,2.572881541247265602e+01
1.036491604747160409e+02,2.759241628277423786e+01
1.068742603517279122e+02,2.573358117690871438e+01
1.058010614029773251e+02,2.387156889475245691e+01
1.068770118671079672e+02,2.201114520074160907e+01
1.036546635054761794e+02,2.014754433042644166e+01
1.079474593004784992e+02,2.759559345906494343e+01
1.229860021598869935e+02,3.505158552841662356e+01
1.251351515727682226e+02,3.505317411656197635e+01
1.262083505215187813e+02,3.691518639871820540e+01
1.294334503985306810e+02,3.505635129285268192e+01
1.326557987601625257e+02,3.691995216315426376e+01
1.272815494702693968e+02,3.877719868087443444e+01
1.294306988831505976e+02,3.877878726902808637e+01
1.294279473677705710e+02,4.250122324518689254e+01
1.326502957294024156e+02,4.436482411548844595e+01
1.337262461935330293e+02,4.250440042147759812e+01
1.358753956064142585e+02,4.250598900963477433e+01
1.358781471217943135e+02,3.878355303345584559e+01
1.391032469988061848e+02,3.692471792759032212e+01
1.380245450192954877e+02,4.250757759776830369e+01
1.390977439680460748e+02,4.436958987992453274e+01
1.423228438450579461e+02,4.251075477405900926e+01
1.455451922066897623e+02,4.437435564436059110e+01
1.455424406913097357e+02,4.809679162052775325e+01
1.466156396400603228e+02,4.995880390268392546e+01
1.487647890529415236e+02,4.996039249084815026e+01
1.487620375375614969e+02,5.368282846699638355e+01
1.519843858991932848e+02,5.554642933729796539e+01
1.530603363633238985e+02,5.368600564328708913e+01
1.552094857762051561e+02,5.368759423142573439e+01
1.552122372915851827e+02,4.996515825526533661e+01
1.584373371685970824e+02,4.810632314939981313e+01
1.573586351890863568e+02,5.368918281957773786e+01
1.584318341378369723e+02,5.555119510173402375e+01
1.600000000000000000e+02,5.464735898267736047e+01
4.993968576034581019e+01,1.495649745970681010e+00
5.208883517322703227e+01,1.497238334112168445e+00
5.208608365784697725e+01,5.219674310283139107e+00
5.530843201947877930e+01,7.083275180584720943e+00
5.638438248360942140e+01,5.222851486573844682e+00
5.853353189649066479e+01,5.224440074718856408e+00
5.853628341187071982e+01,1.502004098552092159e+00
6.114227746601039826e+01,0.000000000000000000e+00
4.907764540193524283e+01,0.000000000000000000e+00
6.068268130937189397e+01,5.226028662864550256e+00
6.175588025812248105e+01,7.088040945020779304e+00
6.498098013513433102e+01,5.229205839155255831e+00
6.820332849676614728e+01,7.092806709456837666e+00
6.712737803263550518e+01,8.953230403467713927e+00
6.820057698138606384e+01,1.081524268562394298e+01
6.497547710437424939e+01,1.267407779148588531e+01
6.497272558899419437e+01,1.639651376765657176e+01
6.712187500187536671e+01,1.639810235580192455e+01
6.819782546600603723e+01,1.453767866179104828e+01
7.142017382763785349e+01,1.640127953209263012e+01
7.464527370464969636e+01,1.454244442622710665e+01
7.357207475589913770e+01,1.268043214407084918e+01
7.141742231225779847e+01,2.012371550825973543e+01
7.356657172513902765e+01,2.012530409640508822e+01
7.464252218926966975e+01,1.826488040239421196e+01
7.786487055090148601e+01,2.012848127269579379e+01
8.216316937666391595e+01,2.013165844898649937e+01
8.646146820242637432e+01,2.013483562527720494e+01
8.753741866655701642e+01,1.827441193126632868e+01
1.014972595464547851e+02,3.131326367079599038e+01
1.036464089593360143e+02,3.131485225895112023e+01
1.036436574439559593e+02,3.503728823510844848e+01
1.068660058055878039e+02,3.690088910541000189e+01
1.079419562697184176e+02,3.504046541139915405e+01
1.068687573209678305e+02,3.317845312924292500e+01
1.100938571979796734e+02,3.131961802338291534e+01
1.122402550954808476e+02,3.504364258768988805e+01
1.133162055596114897e+02,3.318321889367898336e+01
1.165385539212432775e+02,3.504681976398056520e+01
1.197636537982551772e+02,3.318798465811504173e+01
1.165358024058632225e+02,3.876925574014767051e+01
1.186849518187444801e+02,3.877084432829302330e+01
1.197581507674950956e+02,4.063285661044922392e+01
1.229832506445069384e+02,3.877402150458372887e+01
1.262055990061387547e+02,4.063762237488531071e+01
1.262028474907586997e+02,4.436005835105241601e+01
1.272760464395092868e+02,4.622207063320864506e+01
1.294251958523905159e+02,4.622365922137787209e+01
1.294224443370104893e+02,4.994609519752110316e+01
1.326447926986422772e+02,5.180969606782268500e+01
1.337207431627729193e+02,4.994927237381180873e+01
1.358698925756541485e+02,4.995086096195545622e+01
1.358726440910342035e+02,4.622842498579005621e+01
1.444637387117990102e+02,5.367965129070567798e+01
1.401709429167966618e+02,4.623160216208076179e+01
1.390949924526660197e+02,4.809202585609163805e+01
1.423173408142978360e+02,4.995562672638725132e+01
1.423145892989177810e+02,5.367806270256032519e+01
1.455369376605495972e+02,5.554166357286190703e+01
1.423118377835376975e+02,5.740049867876614087e+01
