x,y
594,139
595,183
595,642
595,702
597,860
598,158
599,324
598,725
602,526
603,553
602,605
602,729
603,369
603,550
603,694
603,867
603,870
604,311
604,692
606,106
607,339
608,334
608,815
609,429
609,770
610,606
610,815
611,877
614,404
614,716
615,609
615,894
617,148
617,560
616,611
616,725
619,97
619,509
619,567
620,860
621,553
621,580
623,452
626,522
626,588
626,611
626,679
628,135
627,900
629,512
629,171
631,427
631,730
632,379
632,567
633,756
633,102
633,193
634,680
634,235
635,616
635,884
635,141
635,384
635,504
636,0
636,54
636,76
636,417
636,466
636,532
636,894
637,39
637,179
637,184
637,264
637,267
637,284
637,289
637,356
637,601
637,609
637,635
637,648
637,659
637,673
637,691
637,720
637,771
637,796
637,799
637,812
637,822
637,840
637,859
637,877
